Current Population,Population Growth Rate,Internal Migration,Overseas Migration,Population Density,Dwellings Approved 2022-23,Dwellings Approved 2023-24,Approval Value 2022-23,Approval Value 2023-24,Approval Growth Rate,20yr Population Growth,10yr Population Growth,5yr Population Growth,Growth Acceleration,Consecutive Growth Years,2025-26 Approvals FYTD,SEIFA Disadvantage Index,SEIFA Advantage Index,SEIFA Economic Index,SEIFA Education Index,sa2_name
0.94899595,-1.5970216,0.7296228,-1.1972162,1.1050575,-3.5592942,-5.292513,-0.92584634,-0.028127503,-0.22901288,0.3984481,-0.5434847,-1.9329436,0.45974708,0.055016197,0.020499319,0.630036,-0.7935756,0.72411317,0.734326,Lake Munmorah - Mannering Park
1.116991,0.36648884,0.9816716,0.1665908,1.6973519,-4.125735,-10.368055,-1.001564,0.54184574,1.0767263,0.08603992,-0.23878407,0.8629232,1.5634136,0.22482678,-9.050704,1.0977007,0.57578003,1.0255544,1.915965,Ourimbah - Fountaindale
-1.3862703,0.7431555,0.18412496,-0.9959144,0.532289,4.9241486,8.658641,1.5349752,0.6125958,-0.13752434,0.25383493,0.9622469,0.3088039,-0.27753413,1.2064875,9.926264,0.13336447,-0.06093535,0.15338783,0.5702653,Summerland Point - Gwandalan
2.149924,-0.68140215,-0.6284861,-0.54667807,0.3871885,6.926215,11.062913,3.267932,0.14351088,0.25272125,1.0726829,0.38009974,-0.5680177,-0.4503745,0.07885221,11.204108,0.34863538,-0.5282635,1.2148347,-0.52559453,The Entrance
-0.14160274,-3.2942994,-1.0176059,-2.0404522,-0.53517056,0.63612354,2.974426,0.12965834,-0.60544854,-0.33211458,-0.7826795,-1.0511624,-1.5119272,-0.93253314,-1.6910751,-2.9572215,0.35191703,-1.3914448,-0.330989,-0.39461485,Toukley - Norah Head
-0.96289253,0.1448998,0.28551313,-0.101571724,0.2641892,-4.9483085,-9.260328,-4.0239887,0.14700927,-0.012083445,0.0057899165,-1.1089685,-0.795336,0.33717436,-0.07649028,-10.800147,0.03779782,0.73053104,-0.69907624,-1.0746468,Tuggerah - Kangy Angy
1.6004881,0.44508612,1.0816892,0.24695048,1.1614447,6.620555,12.295426,3.9401848,1.0374706,0.45937496,-0.5447779,0.81760377,0.7596048,0.3316307,1.1590415,11.499088,0.21860789,0.47870108,-0.24098037,-0.15106943,Warnervale - Wadalba
-0.945113,-0.5330521,-0.53486365,1.2136192,0.46452922,1.9942379,-6.4440436,0.7791324,-0.388954,-0.23729059,0.80790687,0.107769705,-0.7683963,0.28184044,0.104319505,-3.0058362,0.465014,-0.44289544,2.5784416,0.12264425,Wyong
1.207898,1.3219881,0.7318596,-1.0178016,-0.049763918,2.4012794,2.2569506,1.7045474,0.06903044,-0.17339662,1.1595583,0.06807439,0.5227042,-1.2339233,1.3987631,-0.41982675,0.041561466,1.3193327,-0.37449667,0.27881965,Bathurst - East
-1.2336326,-0.4079556,-0.025130138,-0.62757725,-1.4470085,-0.12283369,-1.4231658,-0.12780261,-1.8701185,-0.67441416,-0.05715663,-1.2261565,-1.1036819,-0.098184556,-0.28702658,-1.6878896,-0.4687532,-0.21902104,-1.0371755,-0.19249141,Bathurst Surrounds
