sa2_name,state,pressure_score,erp_change_pct,growth_20yr,years_of_growth,dwellings_2526_fytd,seifa_disadvantage_score,total_dwellings_2023-24,lat,lon
Murdoch - Kardinya,WA,2.5,4.0,0.0862135622052114,11,20.0,1050.0,136.0,-32.0664255,115.8504737
Maiden Gully,VIC,2.5,1.6,1.1561461794019934,22,19.0,1072.0,124.0,-36.7558305,144.2075729
Riverside,TAS,2.4,0.2,0.2695563833389773,19,14.0,1018.0,176.0,-41.4153427,147.1028942
Geraldton - East,WA,2.4,1.8,0.2233597692862292,19,15.0,927.0,76.0,-28.77035,114.6147159
Flemington Racecourse,VIC,2.4,0.0,1.0789473684210529,14,0.0,1118.0,2336.0,-37.7892513,144.9127713
Darwin City,NT,2.4,1.6,2.67725361980383,17,0.0,1064.0,192.0,-12.463508,130.8435555
Warragamba - Silverdale,NSW,2.4,5.5,0.5233236151603499,20,33.0,1048.0,164.0,-33.874656,150.618371
Wellington Point,QLD,2.4,1.2,0.4535912253803514,19,15.0,1056.0,152.0,-27.4840595,153.2407425
Jordan Springs - Llandilo,NSW,2.4,3.4,9.872688477951636,21,24.0,1049.0,68.0,-33.7250215,150.7271271
Duncraig,WA,2.3,2.0,0.0297029702970297,10,20.0,1090.0,124.0,-31.8314627,115.7788108
Tweed Heads South,NSW,2.3,1.0,0.4303586321934946,20,7.0,917.0,20.0,-28.2003,153.5349368
Tapping - Ashby - Sinagra,WA,2.3,2.6,6.592649310872894,20,31.0,1049.0,28.0,-31.7182317,115.7939809
Wishart,QLD,2.3,1.3,0.2098477157360406,19,8.0,1042.0,76.0,-27.5514355,153.1031592
Mornington - East,VIC,2.3,0.2,0.3943532016977302,17,12.0,1020.0,142.0,-27.1218036,152.9870487
Normanhurst - Thornleigh - Westleigh,NSW,2.3,1.1,0.1269850304513632,20,8.0,1094.0,112.0,-33.7238649,151.0977351
Ararat,VIC,2.3,-0.1,0.0218378113114955,14,17.0,929.0,372.0,-37.2834165,142.9319447
