sa2_name,lat,lon
Macquarie Park - Marsfield,-33.7814961,151.1256747
Merrylands - Holroyd,-33.8350765,150.9860379
Miranda - Yowie Bay,-34.0335434,151.1037193
Caringbah South,-34.0554491,151.1205937
Kew - West,-33.8729329,151.1812434
Tamborine - Canungra,-28.007031,153.177139
Geelong West - Hamlyn Heights,-38.1392967,144.3450387
Success - Hammond Park,-32.1451437,115.8495969
Noosa Hinterland,-26.3665417,152.8562344
Thornlands,-27.558201,153.2666265
South West Rocks,-30.8943859,153.040677
Brighton East,-37.9171728,145.0163663
Springfield Lakes,-27.6826685,152.9202698
Reservoir - South East,-33.1844036,138.7570004
Nollamara - Westminster,-31.8804371,115.843598
Panania (South) - Picnic Point,-33.9543358,150.9978399
Epping (East) - North Epping,-37.6523847,145.0315487
Turramurra,-33.7328828,151.128541
Toorak Gardens,-34.9333315,138.6374925
Highett (East) - Cheltenham,-37.9484438,145.04188
Rockdale - Banksia,-33.9473604,151.1401032
Mooroolbark,-37.784697,145.3131856
Bentleigh East - North,-37.9220201,145.0665529
Busselton - East,-33.644499,115.3488754
Malvern - Glen Iris,-37.8596152,145.0569516
Warners Bay - Boolaroo,-32.9739199,151.6489887
Ballina Surrounds,,
Morley,-31.8934573,115.9030854
Salisbury,-34.7684459,138.6117546
Forster,-32.1820852,152.5131155
Traralgon - East,-38.1852795,146.5880083
North Haven,-34.7872004,138.4905349
Clifton Beach - Kewarra Beach,-16.7725105,145.6705731
Southport - North,-27.9687807,153.4066696
Spearwood,-32.1042971,115.7837905
Googong,-35.422209,149.2363805
West Ryde - Meadowbank,-33.8148518,151.086652
Buderim - North,-26.6685429,153.0678219
Ulladulla,-35.3621503,150.4751713
Eumundi - Yandina,-26.5582223,152.9539454
Waterloo,-33.9002762,151.2073137
Warilla,-34.552341,150.8594438
Brunswick - South,-28.5405394,153.5518192
Southbank - East,-31.9866262,115.8971922
Baulkham Hills - East,-33.7611198,150.9914041
Hindmarsh - Brompton,-34.8930878,138.5770383
Ivanhoe,-37.7688774,145.0454487
Bairnsdale,-37.8254509,147.6304752
Palmerston - South,-34.944961,138.6048852
Pimpama - North,-27.8184314,153.2974082
Fairfield,-33.8674403,150.8893222
Burpengary - East,-27.1416507,152.9997532
North Kellyville,-33.6859488,150.9535842
Beerwah,-26.8573095,152.9604137
Rockingham,-32.3006647,115.7393915
Midland - Guildford,-37.1486985,144.1666571
Cannington - Queens Park,-32.0134373,115.9449495
Gladesville - Huntleys Point,-33.8421553,151.1478954
Clarkson,-31.6906707,115.7380776
Subiaco - Shenton Park,-31.9608851,115.8067842
Corrimal - Tarrawanna - Bellambi,-34.3757279,150.9048557
Chermside,-27.384991,153.033322
Ellenbrook,-31.782739,115.9665616
Cronulla - Kurnell - Bundeena,-34.0575259,151.1523851
Condon - Rasmussen,-19.32994,146.7167638
Edithvale - Aspendale,-38.0321821,145.1089002
Clifton Hill - Alphington,-37.7888763,144.9953613
Altona,-37.867169,144.8295925
Beverley,-32.158288,116.7616136
