sa2_code,sa2_name,state,sa4_name,erp_change_pct,years_of_growth,growth_20yr,dwellings_2526_fytd,high_pressure,urban_renewal_score,pressure_score,national_rank,signal
106021614,East Maitland - Metford,NSW,Hunter Valley exc Newcastle,0.0,17,0.2443611584327087,19.0,0,0.04829757785467127,21.8,1660,Moderate
106021615,Rutherford (North) - Aberglasslyn,NSW,Hunter Valley exc Newcastle,2.4,22,1.529049180327869,233.0,1,1.1860720397421594,88.9,94,High
106021616,Rutherford (South) - Telarah,NSW,Hunter Valley exc Newcastle,3.7,20,0.4399618805590851,94.0,1,0.43435271642375667,69.3,212,Moderate
106021617,Tenambit - East Maitland,NSW,Hunter Valley exc Newcastle,0.7,21,0.3346080305927342,15.0,0,0.1126660899384846,26.8,1349,Moderate
106021618,Thornton - Millers Forest,NSW,Hunter Valley exc Newcastle,5.4,22,1.793538913362702,177.0,1,0.7823995432010906,94.9,36,Critical
106031119,Anna Bay,NSW,Hunter Valley exc Newcastle,1.5,21,0.364951768488746,15.0,0,0.18510940055436653,33.0,979,Moderate
106031120,Lemon Tree Passage - Tanilba Bay,NSW,Hunter Valley exc Newcastle,0.4,20,0.1936583702693488,48.0,0,0.07318650820629581,25.0,1465,Moderate
106031121,Nelson Bay Peninsula,NSW,Hunter Valley exc Newcastle,0.3,19,0.2572145545796738,39.0,1,0.6083800363256573,46.8,506,Moderate
106031122,Raymond Terrace,NSW,Hunter Valley exc Newcastle,0.8,17,0.1215997647404793,19.0,0,0.27290668564534093,35.1,861,Moderate
106031123,Seaham - Woodville,NSW,Hunter Valley exc Newcastle,0.8,19,0.3154815481548155,2.0,0,0.021191922215420794,21.8,1658,Moderate
106031124,Tea Gardens - Hawks Nest,NSW,Hunter Valley exc Newcastle,0.2,22,0.5289626119010006,13.0,0,0.05865657480393904,24.8,1483,Moderate
106031125,Williamtown - Medowie - Karuah,NSW,Hunter Valley exc Newcastle,3.5,21,0.5341150401624966,91.0,1,0.3730911065763084,61.8,264,Moderate
106041126,Muswellbrook,NSW,Hunter Valley exc Newcastle,0.2,20,0.123763699545576,38.0,0,0.07804402288851589,26.4,1369,Moderate
106041127,Muswellbrook Surrounds,NSW,Hunter Valley exc Newcastle,0.4,14,0.0848375451263537,8.0,0,0.03475119830438805,17.1,1924,Moderate
106041128,Scone,NSW,Hunter Valley exc Newcastle,-0.1,14,0.1191315642976433,16.0,0,0.09176248826657864,19.4,1800,Moderate
106041129,Scone Surrounds,NSW,Hunter Valley exc Newcastle,1.0,12,0.041526793485018,7.0,0,0.026121286443999685,18.1,1877,Moderate
107011131,Dapto - Avondale,NSW,Illawarra,0.5,21,0.127315763120761,22.0,0,0.2365533965531947,35.2,858,Moderate
107011132,Horsley - Kembla Grange,NSW,Illawarra,4.1,22,1.295421215577644,134.0,1,0.9544307166105667,94.4,46,Critical
107011133,Port Kembla Industrial,NSW,Illawarra,0.0,3,-0.7419354838709677,0.0,0,0.0,5.6,2337,Moderate
