sa2_code,sa2_name,state,sa4_name,composite_score_final,v9_national_rank,high_pressure_v9,urban_renewal_score,years_of_growth
304041104,Upper Kedron - Ferny Grove,QLD,Brisbane - West,3.6738786501620893,837,0,0.10361578669527144,22
204011058,Nagambie,VIC,Hume,3.672391001970314,838,0,0.09420724415303874,22
801051060,Turner,ACT,Australian Capital Territory,3.671557459316693,839,0,0.3069009412545061,22
310041303,Springfield,QLD,Ipswich,3.667268470373284,840,0,0.12288030390838643,22
101041019,Bega - Tathra,NSW,Capital Region,3.661069285229193,841,0,0.14976967543767417,22
119011572,Bankstown - South,NSW,Sydney - Inner South West,3.6564887494406664,842,0,0.2617731844264188,22
316031426,Marcoola - Mudjimba,QLD,Sunshine Coast,3.649298699401975,843,0,0.18165042143823684,22
203011036,Winchelsea,VIC,Geelong,3.6478512072354503,844,0,0.07422041717583269,21
101031016,Jindabyne - Berridale,NSW,Capital Region,3.646994744585026,845,0,0.10119735949838528,21
212041566,Keysborough - South,VIC,Melbourne - South East,3.645694707892216,846,0,0.058132690569935454,21
207021160,Templestowe Lower,VIC,Melbourne - Inner East,3.641091508780388,847,0,0.2300052858981976,17
304041101,Mitchelton,QLD,Brisbane - West,3.6378221991540247,848,0,0.21462615741194105,21
216031594,Shepparton - South East,VIC,Shepparton,3.631503870999572,849,0,0.23514388631351013,16
108041166,Wauchope,NSW,Mid North Coast,3.631158471166446,850,0,0.14665334611069597,22
601041022,Kingston - Huntingfield,TAS,Hobart,3.6271590367102005,851,0,0.2547464865625665,22
101051540,Goulburn Surrounds,NSW,Capital Region,3.624752774008889,852,0,0.10759263953843526,22
121041413,Cremorne - Cammeray,NSW,Sydney - North Sydney and Hornsby,3.6230595808473764,853,0,0.17595591181276907,17
107041150,Woonona - Bulli - Russell Vale,NSW,Illawarra,3.6225279501052494,854,0,0.17706245693491557,19
801071080,Greenway,ACT,Australian Capital Territory,3.6149447103776144,855,0,0.034641016151377546,21
111011212,Swansea - Caves Beach,NSW,Newcastle and Lake Macquarie,3.6143339266920522,856,0,0.17811771810618415,18
507051187,Port Kennedy,WA,Perth - South West,3.6127057998766086,857,0,0.21289287777223895,16
107011131,Dapto - Avondale,NSW,Illawarra,3.612134279827561,858,0,0.2365533965531947,21
309071256,Oxenford - Maudsland,QLD,Gold Coast,3.608641091103251,859,0,0.0604011415767581,22
304021090,Kenmore,QLD,Brisbane - West,3.6080515931256762,860,0,0.24253912841086844,21
106031122,Raymond Terrace,NSW,Hunter Valley exc Newcastle,3.6054768369276933,861,0,0.27290668564534093,17
123021438,Claymore - Eagle Vale - Raby,NSW,Sydney - Outer South West,3.600267143732474,862,0,0.35393459673678185,7
801051126,Parkes (ACT) - North,ACT,Australian Capital Territory,3.5982279242330657,863,0,0.8336937887098197,3
501021014,Harvey,WA,Bunbury,3.5960892975009484,864,0,0.07607713330555174,19
306031161,Tully,QLD,Cairns,3.595641933444704,865,0,0.09811204580485826,17
122031694,Dee Why (South) - North Curl Curl,NSW,Sydney - Northern Beaches,3.593808924206843,866,0,0.6907422195129695,20
123021705,Ingleburn,NSW,Sydney - Outer South West,3.5926277283154797,867,0,0.15418808742578136,18
119031372,Peakhurst - Lugarno,NSW,Sydney - Inner South West,3.591523118537894,868,0,0.10892262092910865,22
317011448,Gatton,QLD,Toowoomba,3.590507756623226,869,0,0.022,20
103011059,Bathurst - East,NSW,Central West,3.5896426688089527,870,0,0.10195043752313644,22
503011036,Swanbourne - Mount Claremont,WA,Perth - Inner,3.589344238984145,871,0,0.034421578437450036,22
107041144,Balgownie - Fairy Meadow,NSW,Illawarra,3.5888338460813256,872,0,0.17953421666259053,14
113031269,Wagga Wagga - South,NSW,Riverina,3.585680249360976,873,0,0.15743930328671113,20
302011024,Carseldine,QLD,Brisbane - North,3.581690657457073,874,0,0.144624577137467,21
201011482,Ballarat North - Invermay,VIC,Ballarat,3.5779378503091914,875,0,0.15087617302375297,22
301031015,Manly - Lota,QLD,Brisbane - East,3.574882819768783,876,0,0.08217916000171825,20
112011243,Mullumbimby,NSW,Richmond - Tweed,3.5728351090861405,877,0,0.12183307664392988,18
306041165,Port Douglas,QLD,Cairns,3.572247127578788,878,0,0.12336556623289531,19
310031283,Brassall,QLD,Ipswich,3.565489025927588,879,0,0.19210199958296995,22
503011032,Cottesloe,WA,Perth - Inner,3.565168938026811,880,0,0.10368025119467184,17
407011149,Yankalilla,SA,South Australia - South East,3.5618434813185758,881,0,0.10748712209175924,22
303031060,Eight Mile Plains,QLD,Brisbane - South,3.5576827384687575,882,0,0.1188339689916968,18
212021293,Berwick - North,VIC,Melbourne - South East,3.5535445624165725,883,0,0.16859885779368675,18
503021038,Mount Hawthorn - Leederville,WA,Perth - Inner,3.5528323586382453,884,0,0.05174146620601007,21
202011019,California Gully - Eaglehawk,VIC,Bendigo,3.5510515805363467,885,0,0.14450869395278876,21
316021423,Parrearra - Warana,QLD,Sunshine Coast,3.548975003704936,886,0,0.25186904444569885,22
