sa2_code,sa2_name,state,sa4_name,v9_score,v9_rank,high_pressure_v9,saturation_index,v10_score,v10_rank,top_3_drivers,sa4_rank,high_pressure_pct
304031093,Corinda,QLD,Brisbane - West,2.9568983944306044,1176,0,0.013924959462709274,2.915723704152808,1186,total_dwellings_2024-25: -2.417 | urban_renewal_score: -2.131 | lot_approvals_2yr: -1.242,61,4.2
404031105,Fulham,SA,Adelaide - West,2.932572361997264,1191,0,0.006372863710473279,2.9138834780131546,1187,total_dwellings_2024-25: -2.079 | urban_renewal_score: -1.989 | lot_approvals_2yr: -1.164,14,60.0
506011115,Mount Nasura - Mount Richon - Bedfordale,WA,Perth - South East,2.920366477585846,1196,0,0.002593207202257011,2.9127933622029407,1188,total_dwellings_2024-25: -2.239 | urban_renewal_score: -2.025 | lot_approvals_2yr: -1.183,18,36.6
603021070,Cygnet,TAS,South East,2.936441851799784,1189,0,0.00807706018640062,2.912724034228931,1189,total_dwellings_2024-25: -2.308 | urban_renewal_score: -2.068 | lot_approvals_2yr: -1.120,70,0.0
309031235,Arundel,QLD,Gold Coast,2.9144911838792043,1200,0,0.00125384379517334,2.91083686719221,1190,total_dwellings_2024-25: -2.347 | urban_renewal_score: -2.057 | lot_approvals_2yr: -1.194,9,40.7
601061034,Dodges Ferry - Lewisham,TAS,Hobart,2.933341875002824,1190,0,0.008185521308735991,2.9093309425791807,1191,total_dwellings_2024-25: -2.173 | urban_renewal_score: -2.075 | erp_change_pct: -1.120,72,5.9
801011003,Bruce,ACT,Australian Capital Territory,2.9240014109295185,1194,0,0.005617767106658008,2.907575051983377,1192,total_dwellings_2024-25: -2.217 | urban_renewal_score: -1.997 | lot_approvals_2yr: -1.186,81,6.0
601031013,Austins Ferry - Granton,TAS,Hobart,2.921436550736375,1195,0,0.005319088972762542,2.9058971697947276,1193,total_dwellings_2024-25: -2.311 | urban_renewal_score: -1.995 | lot_approvals_2yr: -1.174,72,5.9
316011414,Buderim - South,QLD,Sunshine Coast,2.972563376487764,1169,0,0.022506639688210706,2.905660963622783,1194,total_dwellings_2024-25: -2.416 | erp_change_pct: -1.703 | lot_approvals_2yr: -1.485,21,35.3
305021116,Hawthorne,QLD,Brisbane Inner City,2.9070428351777142,1208,0,0.002069212502817308,2.901027545796939,1195,total_dwellings_2024-25: -2.340 | urban_renewal_score: -2.027 | lot_approvals_2yr: -1.220,11,39.4
206041125,South Yarra - West,VIC,Melbourne - Inner,2.91079544643268,1204,0,0.003576782326625387,2.900384164723458,1196,urban_renewal_score: -2.040 | total_dwellings_2024-25: -1.957 | peak_year_approvals: -1.123,4,49.1
501031017,Bridgetown - Boyup Brook,WA,Bunbury,2.917436207407281,1198,0,0.006026133921706816,2.8998553461134082,1197,total_dwellings_2024-25: -2.256 | urban_renewal_score: -2.142 | lot_approvals_2yr: -1.086,43,27.3
202011023,Maiden Gully,VIC,Bendigo,2.911300099768003,1202,0,0.004425248606079644,2.898416873059625,1198,total_dwellings_2024-25: -2.327 | urban_renewal_score: -2.033 | lot_approvals_2yr: -1.196,42,31.2
123011699,Elderslie - Narellan,NSW,Sydney - Outer South West,2.950331498121032,1179,0,0.0194367539070704,2.892986630847775,1199,total_dwellings_2024-25: -2.268 | urban_renewal_score: -1.852 | erp_change_pct: -1.495,29,33.3
205041095,Moe - Newborough,VIC,Latrobe - Gippsland,2.946777960929471,1183,0,0.019013791432229244,2.890748539383268,1200,erp_change_pct: -1.778 | urban_renewal_score: -1.736 | years_of_growth: -1.056,53,16.7
207011519,Hawthorn - North,VIC,Melbourne - Inner East,2.89846616570731,1215,0,0.002883711646684039,2.8901078250677403,1201,urban_renewal_score: -1.967 | total_dwellings_2024-25: -1.876 | lot_approvals_2yr: -1.084,15,44.0
509011226,Albany Surrounds,WA,Western Australia - Wheat Belt,2.9042200594817844,1212,0,0.005068219940541744,2.8895008334645973,1202,total_dwellings_2024-25: -2.275 | urban_renewal_score: -2.064 | lot_approvals_2yr: -1.122,73,11.5
309071553,Ormeau (West) - Yatala,QLD,Gold Coast,2.911263827531412,1203,0,0.00796779434200658,2.888067476078319,1203,total_dwellings_2024-25: -2.198 | urban_renewal_score: -2.036 | lot_approvals_2yr: -1.080,9,40.7
116031319,Rooty Hill - Minchinbury,NSW,Sydney - Blacktown,2.91591886772946,1199,0,0.009607711849832171,2.887903559470826,1204,urban_renewal_score: -2.006 | total_dwellings_2024-25: -1.693 | erp_change_pct: -1.541,35,25.0
406011133,Port Lincoln,SA,South Australia - Outback,2.9093450421946687,1205,0,0.007623139281896671,2.8871666997189234,1205,urban_renewal_score: -2.043 | total_dwellings_2024-25: -1.793 | erp_change_pct: -1.452,88,0.0
121021406,Normanhurst - Thornleigh - Westleigh,NSW,Sydney - North Sydney and Hornsby,2.9019249878740534,1214,0,0.005606836137136029,2.8856543699847834,1206,urban_renewal_score: -2.082 | total_dwellings_2024-25: -1.850 | erp_change_pct: -1.134,27,38.5
213011335,St Albans - South,VIC,Melbourne - West,2.906923216215436,1209,0,0.008972937451314632,2.8808395760205605,1207,urban_renewal_score: -1.873 | total_dwellings_2024-25: -1.708 | peak_year_approvals: -1.002,8,37.7
407021173,Mount Gambier - East,SA,South Australia - South East,2.9136915137070445,1201,0,0.011404110784182494,2.880463452893797,1208,erp_change_pct: -2.088 | urban_renewal_score: -2.009 | total_dwellings_2024-25: -0.853,63,17.9
403021060,Marino - Seaview Downs,SA,Adelaide - South,2.902050913768464,1213,0,0.007734116750727496,2.879606113184823,1209,urban_renewal_score: -2.103 | total_dwellings_2024-25: -1.118 | erp_change_pct: -1.096,47,22.9
213051581,Point Cook - North West,VIC,Melbourne - West,2.896729548053372,1216,0,0.006321576296189138,2.878417651205927,1210,total_dwellings_2024-25: -2.236 | urban_renewal_score: -1.996 | lot_approvals_2yr: -1.149,8,37.7
209041216,Bundoora - North,VIC,Melbourne - North East,2.8854075097759715,1219,0,0.0025303964546542447,2.8781062848430015,1211,total_dwellings_2024-25: -2.234 | urban_renewal_score: -1.909 | peak_year_approvals: -1.213,32,31.0
116031315,Hassall Grove - Plumpton,NSW,Sydney - Blacktown,2.907408497104546,1207,0,0.010226376348113408,2.8776762436154524,1212,urban_renewal_score: -1.995 | erp_change_pct: -1.587 | total_dwellings_2024-25: -1.012,35,25.0
701021021,Lyons (NT),NT,Darwin,2.919408492502116,1197,0,0.01478304065101705,2.8762507580805328,1213,total_dwellings_2024-25: -2.444 | urban_renewal_score: -1.948 | lot_approvals_2yr: -1.338,85,2.3
310011276,Wacol,QLD,Ipswich,2.8710052843525045,1228,0,0.0008056499778466205,2.8686922590087685,1214,total_dwellings_2024-25: -2.498 | urban_renewal_score: -1.662 | erp_change_pct: +1.394,33,33.3
111021216,Bonnells Bay - Silverwater,NSW,Newcastle and Lake Macquarie,2.8881484915209383,1218,0,0.006817544594188548,2.868458410385356,1215,total_dwellings_2024-25: -2.201 | urban_renewal_score: -2.085 | lot_approvals_2yr: -1.127,39,20.0
